V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
-4.98189798,-0.121752207,-2.22953569,-0.09014782,-0.760316362,-1.055486578,-0.11324026,0.165242459,0.696125157,0.938089073,0.517277555,0.87887346,-0.777312173,0.956180474,-0.674716331,0.640935691,-0.141711261,-0.277785944,0.175541496,-1.425822012,0.039088545,-0.794480672,0.70938185,0.059620578,-0.189853345,0.135066404,0.478518482,-1.601432293,0
1.775576144,-0.384130184,-0.571484892,1.510871248,-0.116836846,0.251087839,-0.143451069,0.031212264,1.058217831,-0.085883286,-1.269999933,1.04072743,0.535551721,-0.401931164,-1.180611718,-0.441189707,-0.099555796,-0.962820868,0.167693531,-0.043190089,-0.471700658,-1.25500523,0.379357756,0.54021451,-0.30686998,-1.140023049,0.040743248,-0.008218406,0
1.957669619,0.027428454,-1.609890493,0.474699254,0.11249742,-1.161659906,0.209604221,-0.316889046,0.89780002,-0.883266836,-0.352130135,0.762750487,0.719840966,-1.606684331,-0.169381994,-0.097368268,1.06487227,-0.154103993,0.062577349,-0.073053653,-0.216508186,-0.376846621,0.147106331,-0.174242571,-0.052509729,-0.087338967,-0.003822961,-0.015250485,0
1.937050925,-0.03839435,-1.750883072,1.136674639,0.632473222,0.196430862,-0.140387923,0.111567938,0.606068959,-0.113441854,-0.255145218,-0.217843408,-1.025578947,-0.71128581,-0.137206993,1.014203972,-0.20450845,1.354107743,0.126591634,-0.16885774,-0.093900004,-0.258713928,-0.034150362,-1.611562402,0.073710974,-0.6278068,0.028539748,-0.031252453,0
1.53302441,-1.094641994,0.243021718,-1.722374341,-1.106769661,0.075798476,-1.211125988,0.05472965,-1.894168981,1.587615254,0.197634288,-0.629897286,0.481308757,-0.219376706,0.158851748,0.357121648,-0.240218479,0.814238499,0.49011287,-0.27651665,-0.393277262,-0.829669148,0.021091732,-0.887879,0.249952078,-0.355318354,0.035724529,0.008283148,0
1.17294665,0.095446164,0.143513592,0.359970921,-0.192763385,-0.64213519,0.186099953,-0.081862994,-0.281578661,0.083096082,1.186958544,0.726698841,-0.270235185,0.65937137,0.298971257,0.530890144,-0.678815249,-0.24636101,0.501897286,-0.018175134,-0.451493639,-1.508023266,0.180643789,-0.044096126,0.060203465,-0.023531683,-0.065444295,0.009670958,0
-0.372162377,0.941556709,1.147147249,-0.111254462,0.123178399,-0.523325616,0.476181495,0.18796982,-0.387328832,-0.292206467,0.92009006,-0.350460319,-1.51387985,0.067630185,0.393983868,0.749090692,-0.269332603,0.660512297,0.333364024,0.034155543,-0.251468592,-0.769516062,-0.048535329,-0.091870089,-0.201060831,0.080191127,0.230771765,0.081591922,0
-0.044471365,0.454791953,0.879018016,-1.260222894,-0.115758811,-1.256462316,0.689493628,-0.387189191,-1.86708465,0.224078777,-0.206845356,-0.375513917,1.081072443,-0.205439059,0.097675661,0.589103539,0.361851589,-1.560661272,0.768951771,0.192414103,0.27597363,0.73754619,-0.287133234,0.460191426,0.398398505,-0.128354383,0.001078195,0.009226569,0
0.028222183,0.835474519,0.23954574,-0.61127496,0.537823598,-1.067827332,0.984635814,-0.203260713,-0.055162541,-0.410011625,-1.030774122,0.180956473,0.202927841,0.072127868,-0.409250569,-0.059424612,-0.470758399,-0.720183362,-0.028616383,-0.016295876,-0.265940674,-0.587374978,0.053225088,-0.112675018,-0.462865242,0.146955584,0.247191817,0.09699229,0
2.083907746,0.310295945,-1.571312149,0.602878738,0.56338005,-0.791518635,0.125988743,-0.343181664,1.703563516,-0.763614643,0.42110784,-2.099928381,2.236110998,0.482805403,-0.585806503,0.278102724,1.156481768,-0.081201108,-0.133462101,-0.165775872,-0.51315517,-1.097457072,0.339466768,0.435206611,-0.256091162,0.134709289,-0.085917415,-0.03643591,0
